Dataset,Session,Sequence,ProbedFrame,LocationIndex,PicX,PicY,GT_u,GT_v,GT_angle,GT_Speed
1,1,4,10,1,333,226,-13.28125,-2.90625,192.343107752638,13.5955099435439
1,1,4,10,2,417,173,-5.78125,-0.234375,182.321530589833,5.78599889415173
1,1,4,10,3,502,254,-3.5625,-3.140625,221.398721882777,4.74920326377225
1,1,4,10,4,529,296,-4.25,-7.390625,240.098822351905,8.52548168085681
1,1,4,10,5,654,298,3.1875,-7.609375,292.728379552219,8.25001479638825
1,1,4,10,6,660,152,-2.296875,-0.046875,181.169139327907,2.29735326653303
1,1,4,10,7,728,265,5.703125,-4.015625,324.850256453708,6.97501820114113
1,1,4,10,8,809,213,9.875,-1.78125,349.774952615449,10.0343647812156
1,1,4,10,9,828,154,8.984375,0.90625,5.75991800437189,9.02996584728453
1,1,4,10,10,893,192,14.171875,-0.71875,357.096637718637,14.1900895902078
1,1,4,10,1,333,226,-13.28125,-2.90625,192.343107752638,13.5955099435439
1,1,4,10,2,417,173,-5.78125,-0.234375,182.321530589833,5.78599889415173
1,1,4,10,3,502,254,-3.5625,-3.140625,221.398721882777,4.74920326377225
1,1,4,10,4,529,296,-4.25,-7.390625,240.098822351905,8.52548168085681
1,1,4,10,5,654,298,3.1875,-7.609375,292.728379552219,8.25001479638825
1,1,4,10,6,660,152,-2.296875,-0.046875,181.169139327907,2.29735326653303
1,1,4,10,7,728,265,5.703125,-4.015625,324.850256453708,6.97501820114113
1,1,4,10,8,809,213,9.875,-1.78125,349.774952615449,10.0343647812156
1,1,4,10,9,828,154,8.984375,0.90625,5.75991800437189,9.02996584728453
1,1,4,10,10,893,192,14.171875,-0.71875,357.096637718637,14.1900895902078
1,1,4,10,1,333,226,-13.28125,-2.90625,192.343107752638,13.5955099435439
1,1,4,10,2,417,173,-5.78125,-0.234375,182.321530589833,5.78599889415173
1,1,4,10,3,502,254,-3.5625,-3.140625,221.398721882777,4.74920326377225
1,1,4,10,4,529,296,-4.25,-7.390625,240.098822351905,8.52548168085681
1,1,4,10,5,654,298,3.1875,-7.609375,292.728379552219,8.25001479638825
1,1,4,10,6,660,152,-2.296875,-0.046875,181.169139327907,2.29735326653303
1,1,4,10,7,728,265,5.703125,-4.015625,324.850256453708,6.97501820114113
1,1,4,10,8,809,213,9.875,-1.78125,349.774952615449,10.0343647812156
1,1,4,10,9,828,154,8.984375,0.90625,5.75991800437189,9.02996584728453
1,1,4,10,10,893,192,14.171875,-0.71875,357.096637718637,14.1900895902078
1,1,4,10,1,333,226,-13.28125,-2.90625,192.343107752638,13.5955099435439
1,1,4,10,2,417,173,-5.78125,-0.234375,182.321530589833,5.78599889415173
1,1,4,10,3,502,254,-3.5625,-3.140625,221.398721882777,4.74920326377225
1,1,4,10,4,529,296,-4.25,-7.390625,240.098822351905,8.52548168085681
1,1,4,10,5,654,298,3.1875,-7.609375,292.728379552219,8.25001479638825
1,1,4,10,6,660,152,-2.296875,-0.046875,181.169139327907,2.29735326653303
1,1,4,10,7,728,265,5.703125,-4.015625,324.850256453708,6.97501820114113
1,1,4,10,8,809,213,9.875,-1.78125,349.774952615449,10.0343647812156
1,1,4,10,9,828,154,8.984375,0.90625,5.75991800437189,9.02996584728453
1,1,4,10,10,893,192,14.171875,-0.71875,357.096637718637,14.1900895902078
